A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0933,Linezolid,D0954,Losartan,Pharmacodynamic additive effects
D1345,Procarbazine,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0844,Irbesartan,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1545,Telmisartan,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D1263,Phenelzine,D0587,Eprosartan,Pharmacodynamic additive effects
D1263,Phenelzine,D0844,Irbesartan,Pharmacodynamic additive effects
D1263,Phenelzine,D1545,Telmisartan,Pharmacodynamic additive effects
D1263,Phenelzine,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D1455,Selegiline,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D0933,Linezolid,D1082,Moexipril,Pharmacodynamic additive effects
D0933,Linezolid,D1256,Perindopril,Pharmacodynamic additive effects
D0933,Linezolid,D1369,Quinapril,Pharmacodynamic additive effects
D0933,Linezolid,D0254,Captopril,Pharmacodynamic additive effects
D0933,Linezolid,D0938,Lisinopril,Pharmacodynamic additive effects
D0933,Linezolid,D0771,Hydrochlorothiazide,Pharmacodynamic additive effects
D1345,Procarbazine,D0254,Captopril,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1256,Perindopril,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1369,Quinapril,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0254,Captopril,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0771,Hydrochlorothiazide,Pharmacodynamic additive effects
D1263,Phenelzine,D1256,Perindopril,Pharmacodynamic additive effects
D1263,Phenelzine,D0254,Captopril,Pharmacodynamic additive effects
D1455,Selegiline,D0254,Captopril,Pharmacodynamic additive effects
D0933,Linezolid,D0038,Aliskiren,Pharmacodynamic additive effects
D1345,Procarbazine,D0038,Aliskiren,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0038,Aliskiren,Pharmacodynamic additive effects
D1263,Phenelzine,D0038,Aliskiren,Pharmacodynamic additive effects
D1455,Selegiline,D0038,Aliskiren,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0038,Aliskiren,Pharmacodynamic additive effects
D0933,Linezolid,D0864,Isoxsuprine,Pharmacodynamic additive effects
D1345,Procarbazine,D0864,Isoxsuprine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0864,Isoxsuprine,Pharmacodynamic additive effects
D1455,Selegiline,D0864,Isoxsuprine,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0864,Isoxsuprine,Pharmacodynamic additive effects
D0933,Linezolid,D1130,Nicardipine,Pharmacodynamic additive effects
D0933,Linezolid,D0640,Felodipine,Pharmacodynamic additive effects
D0933,Linezolid,D0170,Bepridil,Pharmacodynamic additive effects
D0933,Linezolid,D0352,Clevidipine,Pharmacodynamic additive effects
D1345,Procarbazine,D0352,Clevidipine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0640,Felodipine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0170,Bepridil,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0352,Clevidipine,Pharmacodynamic additive effects
