A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0123,Atropine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0733,Glycopyrronium,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0987,Meclizine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0987,Meclizine,D1263,Phenelzine,Pharmacodynamic additive effects
D0987,Meclizine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0123,Atropine,D1263,Phenelzine,Pharmacodynamic additive effects
D0123,Atropine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0482,Dicyclomine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0782,Hyoscyamine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0782,Hyoscyamine,D1263,Phenelzine,Pharmacodynamic additive effects
D0782,Hyoscyamine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1354,Propantheline,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1450,Scopolamine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1450,Scopolamine,D1263,Phenelzine,Pharmacodynamic additive effects
D1450,Scopolamine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0498,Dimenhydrinate,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0154,Belladonna,Pharmacodynamic additive effects
D0853,Isocarboxazid,D1491,Solifenacin,Pharmacodynamic additive effects
D1263,Phenelzine,D0154,Belladonna,Pharmacodynamic additive effects
D1263,Phenelzine,D0482,Dicyclomine,Pharmacodynamic additive effects
D1263,Phenelzine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D1263,Phenelzine,D0733,Glycopyrronium,Pharmacodynamic additive effects
D1263,Phenelzine,D1354,Propantheline,Pharmacodynamic additive effects
D1263,Phenelzine,D1491,Solifenacin,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0154,Belladonna,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0482,Dicyclomine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0733,Glycopyrronium,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1354,Propantheline,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1491,Solifenacin,Pharmacodynamic additive effects
D0795,Imipramine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0160,Benzatropine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0160,Benzatropine,D1263,Phenelzine,Pharmacodynamic additive effects
D0160,Benzatropine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0183,Biperiden,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1347,Procyclidine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1347,Procyclidine,D1263,Phenelzine,Pharmacodynamic additive effects
D1347,Procyclidine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1641,Trihexyphenidyl,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1641,Trihexyphenidyl,D1263,Phenelzine,Pharmacodynamic additive effects
D1641,Trihexyphenidyl,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1263,Phenelzine,D0183,Biperiden,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0183,Biperiden,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0037,Alimemazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0068,Amitriptyline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0072,Amoxapine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0135,Azatadine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0160,Benzatropine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0183,Biperiden,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0214,Brompheniramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0259,Carbinoxamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0323,Chlorpheniramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0324,Chlorpromazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0351,Clemastine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0353,Clidinium,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0361,Clomipramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0370,Clozapine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0397,Cyclizine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0403,Cyproheptadine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0424,Darifenacin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0446,Desipramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0456,Dexbrompheniramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0482,Dicyclomine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0502,Diphenhydramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0508,Disopyramide,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0525,Doxepin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0526,Doxepin (topical),Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0532,Doxylamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0655,Fesoterodine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0662,Flavoxate,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0678,Fluphenazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0733,Glycopyrronium,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0781,Hydroxyzine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0782,Hyoscyamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0795,Imipramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0957,Loxapine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0979,Maprotiline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0987,Meclizine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1000,Mepenzolate,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1006,Mepyramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1010,Mesoridazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1019,Methdilazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1031,Methscopolamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1084,Molindone,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1158,Nortriptyline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1202,Oxybutynin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1257,Perphenazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1264,Phenindamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1292,Pimozide,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1346,Prochlorperazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1347,Procyclidine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1351,Promazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1352,Promethazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1354,Propantheline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1355,Propiomazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1361,Protriptyline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1450,Scopolamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1491,Solifenacin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1572,Thiethylperazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1574,Thioridazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1576,Thiothixene,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1607,Tolterodine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1637,Trifluoperazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1638,Triflupromazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1641,Trihexyphenidyl,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1649,Tripelennamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1650,Triprolidine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1656,Trospium,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0020,Acrivastine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0037,Alimemazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0068,Amitriptyline,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0072,Amoxapine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0135,Azatadine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0154,Belladonna,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0160,Benzatropine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0183,Biperiden,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0214,Brompheniramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0259,Carbinoxamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0323,Chlorpheniramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0324,Chlorpromazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0351,Clemastine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0353,Clidinium,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0361,Clomipramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0370,Clozapine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0397,Cyclizine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0403,Cyproheptadine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0424,Darifenacin,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0446,Desipramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0456,Dexbrompheniramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0482,Dicyclomine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0508,Disopyramide,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0526,Doxepin (topical),Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0655,Fesoterodine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0662,Flavoxate,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0678,Fluphenazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0733,Glycopyrronium,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0781,Hydroxyzine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0782,Hyoscyamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0795,Imipramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0957,Loxapine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0979,Maprotiline,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D0987,Meclizine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1000,Mepenzolate,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1006,Mepyramine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1010,Mesoridazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1019,Methdilazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1031,Methscopolamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1084,Molindone,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1158,Nortriptyline,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1166,Olanzapine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1257,Perphenazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1264,Phenindamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1292,Pimozide,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1346,Prochlorperazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1347,Procyclidine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1351,Promazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1352,Promethazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1354,Propantheline,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1355,Propiomazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1361,Protriptyline,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1450,Scopolamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1491,Solifenacin,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1572,Thiethylperazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1574,Thioridazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1576,Thiothixene,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1607,Tolterodine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1637,Trifluoperazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1638,Triflupromazine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1641,Trihexyphenidyl,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1649,Tripelennamine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1650,Triprolidine,Pharmacodynamic additive effects
D0196,Botulinum toxin type A,D1656,Trospium,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0020,Acrivastine,Pharmacodynamic additive effects
D0020,Acrivastine,D0154,Belladonna,Pharmacodynamic additive effects
D0020,Acrivastine,D1031,Methscopolamine,Pharmacodynamic additive effects
D0020,Acrivastine,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0037,Alimemazine,D0020,Acrivastine,Pharmacodynamic additive effects
D0037,Alimemazine,D0154,Belladonna,Pharmacodynamic additive effects
D0037,Alimemazine,D0262,Cariprazine,Pharmacodynamic additive effects
D0037,Alimemazine,D0655,Fesoterodine,Pharmacodynamic additive effects
D0037,Alimemazine,D0959,Lumateperone,Pharmacodynamic additive effects
D0037,Alimemazine,D0961,Lurasidone,Pharmacodynamic additive effects
D0037,Alimemazine,D1000,Mepenzolate,Pharmacodynamic additive effects
D0037,Alimemazine,D1006,Mepyramine,Pharmacodynamic additive effects
D0037,Alimemazine,D1031,Methscopolamine,Pharmacodynamic additive effects
D0037,Alimemazine,D1084,Molindone,Pharmacodynamic additive effects
D0037,Alimemazine,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0037,Alimemazine,D1491,Solifenacin,Pharmacodynamic additive effects
D0037,Alimemazine,D1576,Thiothixene,Pharmacodynamic additive effects
D0068,Amitriptyline,D0020,Acrivastine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0072,Amoxapine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0123,Atropine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0135,Azatadine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0154,Belladonna,Pharmacodynamic additive effects
D0068,Amitriptyline,D0183,Biperiden,Pharmacodynamic additive effects
D0068,Amitriptyline,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0068,Amitriptyline,D0214,Brompheniramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0259,Carbinoxamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0262,Cariprazine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0353,Clidinium,Pharmacodynamic additive effects
D0068,Amitriptyline,D0361,Clomipramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0397,Cyclizine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0403,Cyproheptadine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0446,Desipramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0456,Dexbrompheniramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0482,Dicyclomine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0502,Diphenhydramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0532,Doxylamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0655,Fesoterodine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0662,Flavoxate,Pharmacodynamic additive effects
D0068,Amitriptyline,D0733,Glycopyrronium,Pharmacodynamic additive effects
D0068,Amitriptyline,D0782,Hyoscyamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0795,Imipramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0957,Loxapine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0959,Lumateperone,Pharmacodynamic additive effects
D0068,Amitriptyline,D0961,Lurasidone,Pharmacodynamic additive effects
D0068,Amitriptyline,D0979,Maprotiline,Pharmacodynamic additive effects
D0068,Amitriptyline,D0987,Meclizine,Pharmacodynamic additive effects
D0068,Amitriptyline,D0998,Memantine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1000,Mepenzolate,Pharmacodynamic additive effects
D0068,Amitriptyline,D1006,Mepyramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1031,Methscopolamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1084,Molindone,Pharmacodynamic additive effects
D0068,Amitriptyline,D1264,Phenindamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1347,Procyclidine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1354,Propantheline,Pharmacodynamic additive effects
D0068,Amitriptyline,D1361,Protriptyline,Pharmacodynamic additive effects
D0068,Amitriptyline,D1450,Scopolamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1491,Solifenacin,Pharmacodynamic additive effects
D0068,Amitriptyline,D1576,Thiothixene,Pharmacodynamic additive effects
D0068,Amitriptyline,D1641,Trihexyphenidyl,Pharmacodynamic additive effects
D0068,Amitriptyline,D1647,Trimipramine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1649,Tripelennamine,Pharmacodynamic additive effects
D0068,Amitriptyline,D1650,Triprolidine,Pharmacodynamic additive effects
D0072,Amoxapine,D0020,Acrivastine,Pharmacodynamic additive effects
D0072,Amoxapine,D0105,Aripiprazole,Pharmacodynamic additive effects
D0072,Amoxapine,D0123,Atropine,Pharmacodynamic additive effects
D0072,Amoxapine,D0135,Azatadine,Pharmacodynamic additive effects
D0072,Amoxapine,D0154,Belladonna,Pharmacodynamic additive effects
D0072,Amoxapine,D0183,Biperiden,Pharmacodynamic additive effects
D0072,Amoxapine,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0072,Amoxapine,D0214,Brompheniramine,Pharmacodynamic additive effects
D0072,Amoxapine,D0259,Carbinoxamine,Pharmacodynamic additive effects
D0072,Amoxapine,D0262,Cariprazine,Pharmacodynamic additive effects
D0072,Amoxapine,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0072,Amoxapine,D0323,Chlorpheniramine,Pharmacodynamic additive effects
D0072,Amoxapine,D0353,Clidinium,Pharmacodynamic additive effects
D0072,Amoxapine,D0397,Cyclizine,Pharmacodynamic additive effects
D0072,Amoxapine,D0446,Desipramine,Pharmacodynamic additive effects
D0072,Amoxapine,D0482,Dicyclomine,Pharmacodynamic additive effects
D0072,Amoxapine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0072,Amoxapine,D0502,Diphenhydramine,Pharmacodynamic additive effects
D0072,Amoxapine,D0525,Doxepin,Pharmacodynamic additive effects
D0072,Amoxapine,D0526,Doxepin (topical),Pharmacodynamic additive effects
D0072,Amoxapine,D0655,Fesoterodine,Pharmacodynamic additive effects
D0072,Amoxapine,D0662,Flavoxate,Pharmacodynamic additive effects
D0072,Amoxapine,D0733,Glycopyrronium,Pharmacodynamic additive effects
D0072,Amoxapine,D0781,Hydroxyzine,Pharmacodynamic additive effects
D0072,Amoxapine,D0959,Lumateperone,Pharmacodynamic additive effects
D0072,Amoxapine,D0961,Lurasidone,Pharmacodynamic additive effects
D0072,Amoxapine,D0979,Maprotiline,Pharmacodynamic additive effects
D0072,Amoxapine,D0987,Meclizine,Pharmacodynamic additive effects
D0072,Amoxapine,D0998,Memantine,Pharmacodynamic additive effects
D0072,Amoxapine,D1000,Mepenzolate,Pharmacodynamic additive effects
D0072,Amoxapine,D1031,Methscopolamine,Pharmacodynamic additive effects
D0072,Amoxapine,D1084,Molindone,Pharmacodynamic additive effects
D0072,Amoxapine,D1188,Orphenadrine,Pharmacodynamic additive effects
D0072,Amoxapine,D1202,Oxybutynin,Pharmacodynamic additive effects
D0072,Amoxapine,D1264,Phenindamine,Pharmacodynamic additive effects
D0072,Amoxapine,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0072,Amoxapine,D1354,Propantheline,Pharmacodynamic additive effects
D0072,Amoxapine,D1413,Risperidone,Pharmacodynamic additive effects
D0072,Amoxapine,D1450,Scopolamine,Pharmacodynamic additive effects
D0072,Amoxapine,D1491,Solifenacin,Pharmacodynamic additive effects
D0072,Amoxapine,D1576,Thiothixene,Pharmacodynamic additive effects
D0072,Amoxapine,D1607,Tolterodine,Pharmacodynamic additive effects
D0072,Amoxapine,D1649,Tripelennamine,Pharmacodynamic additive effects
D0105,Aripiprazole,D0020,Acrivastine,Pharmacodynamic additive effects
D0105,Aripiprazole,D0112,Asenapine,Pharmacodynamic additive effects
D0105,Aripiprazole,D0154,Belladonna,Pharmacodynamic additive effects
D0105,Aripiprazole,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0105,Aripiprazole,D0262,Cariprazine,Pharmacodynamic additive effects
D0105,Aripiprazole,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0105,Aripiprazole,D0655,Fesoterodine,Pharmacodynamic additive effects
D0105,Aripiprazole,D0791,Iloperidone,Pharmacodynamic additive effects
D0105,Aripiprazole,D0959,Lumateperone,Pharmacodynamic additive effects
D0105,Aripiprazole,D0961,Lurasidone,Pharmacodynamic additive effects
D0105,Aripiprazole,D1000,Mepenzolate,Pharmacodynamic additive effects
D0105,Aripiprazole,D1006,Mepyramine,Pharmacodynamic additive effects
D0105,Aripiprazole,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0105,Aripiprazole,D1031,Methscopolamine,Pharmacodynamic additive effects
D0105,Aripiprazole,D1084,Molindone,Pharmacodynamic additive effects
D0105,Aripiprazole,D1264,Phenindamine,Pharmacodynamic additive effects
D0105,Aripiprazole,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0105,Aripiprazole,D1491,Solifenacin,Pharmacodynamic additive effects
D0112,Asenapine,D0020,Acrivastine,Pharmacodynamic additive effects
D0112,Asenapine,D0154,Belladonna,Pharmacodynamic additive effects
D0112,Asenapine,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0112,Asenapine,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0112,Asenapine,D0655,Fesoterodine,Pharmacodynamic additive effects
D0112,Asenapine,D0961,Lurasidone,Pharmacodynamic additive effects
D0112,Asenapine,D1006,Mepyramine,Pharmacodynamic additive effects
D0112,Asenapine,D1031,Methscopolamine,Pharmacodynamic additive effects
D0112,Asenapine,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0123,Atropine,D0020,Acrivastine,Pharmacodynamic additive effects
D0123,Atropine,D0037,Alimemazine,Pharmacodynamic additive effects
D0123,Atropine,D0105,Aripiprazole,Pharmacodynamic additive effects
D0123,Atropine,D0112,Asenapine,Pharmacodynamic additive effects
D0123,Atropine,D0135,Azatadine,Pharmacodynamic additive effects
D0123,Atropine,D0154,Belladonna,Pharmacodynamic additive effects
D0123,Atropine,D0183,Biperiden,Pharmacodynamic additive effects
D0123,Atropine,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0123,Atropine,D0259,Carbinoxamine,Pharmacodynamic additive effects
D0123,Atropine,D0262,Cariprazine,Pharmacodynamic additive effects
D0123,Atropine,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0123,Atropine,D0323,Chlorpheniramine,Pharmacodynamic additive effects
D0123,Atropine,D0353,Clidinium,Pharmacodynamic additive effects
D0123,Atropine,D0361,Clomipramine,Pharmacodynamic additive effects
D0123,Atropine,D0397,Cyclizine,Pharmacodynamic additive effects
D0123,Atropine,D0446,Desipramine,Pharmacodynamic additive effects
D0123,Atropine,D0482,Dicyclomine,Pharmacodynamic additive effects
D0123,Atropine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0123,Atropine,D0502,Diphenhydramine,Pharmacodynamic additive effects
D0123,Atropine,D0526,Doxepin (topical),Pharmacodynamic additive effects
D0123,Atropine,D0655,Fesoterodine,Pharmacodynamic additive effects
D0123,Atropine,D0662,Flavoxate,Pharmacodynamic additive effects
D0123,Atropine,D0678,Fluphenazine,Pharmacodynamic additive effects
D0123,Atropine,D0733,Glycopyrronium,Pharmacodynamic additive effects
D0123,Atropine,D0791,Iloperidone,Pharmacodynamic additive effects
D0123,Atropine,D0959,Lumateperone,Pharmacodynamic additive effects
D0123,Atropine,D0961,Lurasidone,Pharmacodynamic additive effects
D0123,Atropine,D0979,Maprotiline,Pharmacodynamic additive effects
D0123,Atropine,D0987,Meclizine,Pharmacodynamic additive effects
D0123,Atropine,D0998,Memantine,Pharmacodynamic additive effects
D0123,Atropine,D1000,Mepenzolate,Pharmacodynamic additive effects
D0123,Atropine,D1006,Mepyramine,Pharmacodynamic additive effects
D0123,Atropine,D1010,Mesoridazine,Pharmacodynamic additive effects
D0123,Atropine,D1019,Methdilazine,Pharmacodynamic additive effects
D0123,Atropine,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0123,Atropine,D1031,Methscopolamine,Pharmacodynamic additive effects
D0123,Atropine,D1084,Molindone,Pharmacodynamic additive effects
D0123,Atropine,D1188,Orphenadrine,Pharmacodynamic additive effects
D0123,Atropine,D1215,Paliperidone,Pharmacodynamic additive effects
D0123,Atropine,D1257,Perphenazine,Pharmacodynamic additive effects
D0123,Atropine,D1264,Phenindamine,Pharmacodynamic additive effects
D0123,Atropine,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0123,Atropine,D1292,Pimozide,Pharmacodynamic additive effects
D0123,Atropine,D1354,Propantheline,Pharmacodynamic additive effects
D0123,Atropine,D1355,Propiomazine,Pharmacodynamic additive effects
D0123,Atropine,D1413,Risperidone,Pharmacodynamic additive effects
D0123,Atropine,D1491,Solifenacin,Pharmacodynamic additive effects
D0123,Atropine,D1574,Thioridazine,Pharmacodynamic additive effects
D0123,Atropine,D1576,Thiothixene,Pharmacodynamic additive effects
